Compensation,Post time,Description,Post Id,Title,URL,Address,Employment Type
,2017-06-14  1:55pm,"
        
We have a room open in a cute apartment on Haight and Cole. The rent is $1,750 if you want the room to yourself or $875 if you want to share. 
-Fully furnished
-Remodeled kitchen (all new appliances)
-Dishwasher 
-The 43, 7, 33, 37 bus lines all run right outside the apartment. A 10 minute walk to USF and the 5 line. 
-Hardwood floor 
-Tons of fun shops on Haight 

Email or text me and I can send you pictures!    ",post id: 6176986843,"Room available on Haight and Cole ($1,750)- single or shared",https://sfbay.craigslist.org/sfc/roo/6176986843.html,haight ashbury,
,2017-06-14  1:56pm,"
        
三藩市靠近Daly City的二楼大房间出租
光猛独立大房间，与其他两人共用厨房、厕所
房间有床、衣柜、书桌、椅子
用洗衣机、干衣机可免费使用
附近有公交车直达SF downtown市中心
开车去SFSU和CCSF 10分钟内到达
附近有华人超市、餐厅、电影院、mall、公园等

限住一人！！
找爱干净和安静的留学生
不吸烟、不滥用毒品、无宠物、不允许带人回家过夜

每月租金$1000，不包水、电、上网费（约$50/人/月）
随时入住，租约至2018年二月 (flexible)

电话：
 

微信：ylimewu    ",post id: 6176988279,近SFSU/CCSF 二楼光猛大房间,https://sfbay.craigslist.org/sfc/roo/6176988279.html,ingleside / SFSU / CCSF,
,2017-06-14  2:06pm,"
        
Large Master BedRoom available in Outer Sunset home 7/1 - 9/28 (with possibility to extend if right candidate)

The room is very large - with a HUGE walk in closet, private entrance to shared bathroom, and sliding door to the patio and big back yard with a fire pit and couches. Few blocks from the beach - we love our house and neighborhood.

The house is a duplex - both apartments are friends and we treat it like one big house (however have separate bathrooms and kitchens). Upstairs is a 5 bedroom shared with 3 guys and 1 girl. 

We enjoy live music, weekend adventures, and dinner parties. We like to hang out together on occasion, and while although the house is usual quiet - we do like to have people over and may be up late sometimes. 

No pets or couples. $1250/month, $1300 security deposit. Utilities are additional. 


    ",post id: 6177003166,LARGE Bedroom available 7/1-9/28,https://sfbay.craigslist.org/sfc/roo/6177003166.html,sunset / parkside,
,2017-06-14  1:42pm,"
        
Hello;

Large size shared room with a comfy twin bed available for move in. I can provide a study/work desk if you want one. 

I am looking for a clean , organized , respectful roommate. Minimum 1 month rent or longer term.

This house features large bright living room with 42""Plasma cable TV, Comfy seating , fireplace , dining table , fully equipped kitchen and a Big size backyard. 

Maximum 2 people stays in the room

No shoes and no smoking inside the house.

Getting around the city is a really easy, the house is only 1 block from Muni and 2 blocks from bus station,
there is nice shops, restaurants, bar, walgreens, right around the corner, really centrally located.

-* 25 min muni ride to financial district,
-* 12 min bus ride to SFSU,
-* 8 min bus ride to Golden Gate park,
-* 8 min muni ride to Pacific ocean,

I also have available space for your bicycle and plenty of street parking available
Security deposit is fully refundable and it is only $400.

I prefer e-mail or text message, please leave a brief message and tell me about yourself    ",post id: 6176966973,Fully Furnished Large Shared Room One Block from Muni,https://sfbay.craigslist.org/sfc/roo/6176966973.html,sunset / parkside,
1012,2017-06-14  1:51pm,"
        
*10x12 room available in a newly renovated two-story home: 4 bedrooms/4 baths.
*The room is spacious with a well-lit, spacious closet. Also, you'll have your own full private bathroom.
*The use of washer/dryer is included in rent
*Free wireless internet and cable
*Free gym access within the home
*The room is available in NOW!

If interested, give me a call to schedule an appointment or to ask any questions 
 
 

Here's some more info: 
* 2200 sq ft of living space 
* 1100 sq ft backyard 
* Dishwasher and garbage disposal 
* Large/dining dining area 
* Can be furnished/unfurnished 


Location: 
Walking distance to Daly City Bart, Bally's Fitness Gym, Supermarket, and Subway 
Free 5 minute shuttle ride to SF STATE UNIVERSITY from Daly City BART
Two minute drive to 280 and 101 freeways 
2-5 minute walk to bus lines, 26, 28, 54, M street car and SamTrans 
5 minute drive to Stonestown Galleria, Westlake Shopping, Movie Theatre, Lake Merced, etc..... 
Background check conducted. 
Utilities split between household members. 
6-month lease    ",post id: 6176980932,"**Large Room w/ PRIVATE Full Bath near SF State, BART, Lake Merced**",https://sfbay.craigslist.org/sfc/roo/6176980932.html,ingleside / SFSU / CCSF,
,2017-06-14  2:08pm,"
        
I'm looking for a nice, respectful, clean, easy going,person who like to sublet my room from July 1th to August 1st. The room is comfortable with a king-size bed, 2 blocks from Precita Park in a very quite and safe neighborhood..no street cleaning.The house is big and spacious,
with fire pit and beautiful avocado tree in the backyard..You have to share the house with 2 two woman and the queen of the house,a little cat, Gingi.
If you think you are a good match, feel free to contact me.
Thank you and enjoy your tim    ",post id: 6177006054,$1500 Amazing room in a big cozy house for sublet in July,https://sfbay.craigslist.org/sfc/roo/6177006054.html,bernal heights,
,2017-06-14  2:12pm,"
        
Hello,
I have a room coming available the first week of July. 
Sorry, NO pets, smoking, or overnight guests. *Single Occupancy Only.
Street Parking only.

The house is located approximately 5 blocks from the beach, 4 blocks from the Zoo, and 1 block from the L Transit Line.
The room is approximately 10x12. The room is unfurnished, original hardwood floors, has a small view of the ocean. We are looking for a long term renter, someone quiet, respectful, and clean. 

About us:
My brother and I are two elderly gentlemen that keep to ourselves.We each have our own room. We work during the day and do not come home until 5 or 6pm during the evening. We are respectful of your space and you will have a key to your room.

Rent is $750 per month due every 1st of the month. $50 for utilities* and $700 for rent. 
Utilities include electricity, water, garbage. A month to month rental agreement must be signed prior to move in. 
You will receive a copy. Deposit is $250. $1000 due at time of move in.
*Cable and internet can be discussed at a later date. 

If interested please contact me via phone.
Please call me between 10am and 6pm anyday. I do not respond to texts.    ",post id: 6177012044,SUNSET ROOM FOR RENT STARTING JULY 1ST.,https://sfbay.craigslist.org/sfc/roo/6177012044.html,sunset / parkside,
,2017-06-14  2:15pm,"
        
Hi, my name is Ann, and I am looking for a 2-3 month sublet starting July to my Nob Hill apartment to replace my roommate who is moving to the East Coast for business school. The exact term can be negotiated, but this is by no means a long-term rental.

I'm looking for a roommate that is clean AND neat (wipes down the kitchen counter after use, checks the stove for spills/splatters after cooking, cleans their hair out of the shower drain, etc.), works a normal weekday schedule, and likes dogs. 

About me:
I'm in my early thirties, and currently in between jobs. As such, I will be home a lot during the days, but I am by no means a homebody. I am gone quite often visiting my parents in San Jose or traveling while enjoying funemployment! I enjoy cooking, going out for dinner, and being outdoors as much as possible with the pup. It would be great if I can find someone who wants to go out out occasionally or have a glass of wine but is also happy to co-exist independently. 

My dog:
Your third roommate will be my 10 year old Boston Terrier, who is extremely mellow and easy going. He has free rein in the common areas (couches, kitchen, etc.), but of course your room will be off-limits. Unfortunately, there are no other pets allowed.

About the apartment:
•	Located at the top of Nob Hill, with easy access to the 1 and 27 buses, as well as Trader Joe's and Whole Foods
•	Our unit is a corner unit in the back of the building, and does not share any walls with other units
•	Large kitchen with granite countertops, stainless steel appliances, and ample shelving
•	Furnished living room, I'm still rounding out some minor pieces to replace what my roommate is taking with her, though the main pieces are here (tv, couch, armchairs)
•	Small patio off the kitchen
•	Shared bathroom with marble tiling and a clawfoot tub/shower
•	Laundry in the building

Your room:
The dark blue dresser and bed shown in the pictures will be staying in the room for your use, the pictures will be packed up and the holes patched. If you have additional furniture you would like to bring with you, that can certainly be discussed. Your room is a corner unit, with windows on two sides of the room, and a beautiful view of the hillside from one. 

If this sounds like a good fit for you, please respond with a bit about yourself, including:
•	Occupation
•	Ideal cleaning routine
•	What your typical week looks like (weekday and weekend) - work, social activities
•	Hobbies
•	Contact information including cell phone #

Move-in costs will be first months' rent and $1,355 security deposit (which cannot be applied to last months' rent). Utilities flat fee of $120/month includes cleaners once a month as well as fast internet. I look forward to chatting with you.    ",post id: 6177015745,Sublet - Room in Beautiful Apartment,https://sfbay.craigslist.org/sfc/roo/6177015745.html,nob hill,
,2017-06-14  2:12pm,"
        
We have 1 bedroom available in a 4 bedroom 3 bathroom house. 
Our friend Ruby just moved out, so the room is empty now. 
Great view, nicest room in the house. 

New kitchen and bathroom. Newly furnished. 
300sqft back yard and garage. 
Your friends and family will like it. 

15min drive to downtown. 
Close to SFSU and CCSF. 
Close to Balboa Park BART. 
Bus stop on mission st one block away. 

Neighbors are families. 
Safe area, residential only. 

House mates are recent grad and students 18-24.
We occasionally throw dinner parties, and go out dancing.
Share a bathroom with Gaby 21, she is very clean, and a student as USF. 

Rent is $1200 including utilities. 
Roommate ok, couple ok. 
Month to month, no lease required. 
My sister is willing to roommate for $600 as an option. 

We keep the place clean and organized. 
Comfortable place to come home to. 

We are looking for the right person. Female preferred.
Someone close to our age, responsible, and fun. 

Contact with questions or to setup a view. 
Alex

 
    ",post id: 6177012547,"Clean Comfortable Home, Young Professionals",https://sfbay.craigslist.org/sfc/roo/6177012547.html,excelsior / outer mission,
,2017-06-14 11:27am,"
        
Roommates are moving out, and we are looking for people to jump into the open rooms.
Let's see if you fit?
Open House Dates July 1st
Scroll for FAQ

TO MOVE IN:
A. Text me, and i'll do a quick phone interview/ prescreen.
B. May Rent + Deposit
C. Get Proof of Income: (pay stubs from 2 months OR letter from employer)
D. Come to open house so we can meet you. Open House dates sat may 29th exact time tbd
YES the room is still available.
what's your fb link? (I'm a real person, are you? facebook.com/miketme)

ROOM #1 Open July 1st
It's cozy... 9.6'x10'
It has a small window.
No closet but you can get a wardrobe or something.
Bathroom shared with just 1 other person.
$800 deposit ASAP (returned upon move-out)
$800  rent


ROOM #3 Open May 16th
It's cozy... 8 x12'
It has a small window. Top floor. Closet
Bathroom shared with just 1 other person.
$900 deposit ASAP (returned upon move-out)
$900 May rent


We are looking for 6 month subleassors then it will change to month to month.
(bonus) once you get in the house you have priority of moving into a bigger room when another roomy leaves.

THE HOUSE
utilities usually run between $80 and $110/ person
We live in a 6 bedroom 4 bathroom home. You'd only be sharing the bathroom w/ one other person.
The house is pretty gorgeous. It was newly renovated 2 summers ago. There's a two level deck outside, we have some plants in the back.. and a grill.
Laundry in the garage.
Bart is a 12 min walk away
Whole Foods is a 5 min walk away
There's a muni bus a block or two away.

THE HOUSE MATES
We are not all best friends, be we enjoy each other's company without hovering in anyone's space. I guess we pick our roommates very carefully, because it's nice to enjoy the people you live with. We all have horror stories from previous housing situations, and this place is a breath of fresh air.

So to introduce us...
SLAM POET TEACHER (27m) -- runs a non-profit by day teaching kids to be awesome on stage. Works a restaurant gig by night.

ANALYST MUSICIAN(27f) -- Bay Area native. Also cooks things and shares.

ANIMATED CHEF (31m) -- Makes awesome things on plates and on paper.

COMMUNITY ORGANIZER (27m) Active in social justice and art

IF YOU ARE NOT IN SF YET
you can send us a 3-5 min video introducing yourself and what you are about. (when people that we meet irl are unimpressive we pick video people that are stellar)

FAQ:
Q. why am i not getting a reply back
A. because you make less than 3x rent, smoke cigarettes, don't seem clean enough, or seem hella basic, you're a couple, you have a young one moving with you, you're under 23 years old, you have a dog/cat (landlord says no sry)

Q. is this a scam
A. Ain't nobody got time for that

Q. i've seen this ad before!
A. We have 6 rooms, Roommates stay an average of 1 year. Do math.    ",post id: 6176749313,Huge Room Avaliable July 1st,https://sfbay.craigslist.org/sfc/roo/6176749313.html,ingleside / SFSU / CCSF,
,2017-06-14 11:43am,"
        
My roommate is moving out...

I am looking for a new awesome roommate to share a 2bed, 1 bath super bright and quiet apartment with. 

The apartment building is located right on Alamo Square Park but facing to the back so it's super quiet! SW facing, very bright, sun all day long! 

Your room is super large, fits easily king bed and more furniture, has two closets, build in mirror and a large bright window. 

The apartment was recently remodeled and features everything you need...washer/dryer in unit, brand new kitchen and bathroom and a stylish interior. Bedroom windows are large and double-glazed, draft-free! Bathroom and kitchen are fully equipped with everything you would need to feel home. Drum kit is electronic (noise free! ;-) 



About me: I am a professional 32 year old female who grew up in Germany and England. I am super easy-going, respectful and considered, social and a lot of fun!

Contact me for a viewing in the evening or at the weekend.

Move-in date is flexible, asap or as per agreement.

$2150 per calendar month. 

No pets, sorry.

    ",post id: 6176776188,"Large, bright, quiet room in AMAZING apartment right on Alamo Square",https://sfbay.craigslist.org/sfc/roo/6176776188.html,alamo square / nopa,
,2017-06-14 11:23am,"
        
Hello, 

I'm subletting my large master bedroom while I'm traveling this summer. The room is in a 4 bedroom, 2 bathroom, Victorian house, located near bars, stores, restaurants. We're a 5 minute walk away from 24th BART and 10 minutes from Dolores Park. I share this house with 3 young professionals who are rarely home.

We're all mellow, have busy lives and like to keep home as a place where we relax. Our ideal new subletter is:

-Neat and clean 

-Drama and drug-free

-Doesn't bring the party or tons of people home. 

-The room is for one person, no couples please!

The room is available from June 1 to July 26 Rent is $600 per month. This includes all bills. Since July will be a few days short of a full month, rent will be prorated. 

If you think you could be a good fit for this house, let me know a bit about you, your work schedule and anything else you might want to add. We will be interviewing candidates from next week.

Cheers    ",post id: 6176742542,Huge Beautiful Room on Valencia St.,https://sfbay.craigslist.org/sfc/roo/6176742542.html,mission district,
,2017-06-14 11:40am,"
        
A group of young easy going male students who are very focus in studying, if you are looking for a quiet place to study, this is the right place.

This room is private (not shared) and it's fully furnished. The room is on the 2nd floor and it is very clean, sunny and quiet.

The room is located in the sunset area. Bus 28 is in front of the house which takes you to SFSU in less than 10 mins and the buses come frequently. 2 blocks of Muni N or Bus 71, N car will get you to downtown or to BART transfer within 20 minutes.

We are looking for similarly minded who is quite, clean, respectful MALE student in their ~20s.

Also nearby: great restaurants, grocery stores, Cafes, video stores, and public library. You will have your own bedroom, but share bathroom with other roommates.

$75 Utilities include garbage, wireless internet connection and electricity.

Washer/dryer is also available.

In order to maintain a good, clean, and quiet environment for all, no party, no drinking, no smoking, no drama, and no pets.

If you want a very quite academic environment that is conducive to success to this is the perfect place for you. If you are a social butterfly with an active social calendar this is not your best option.    ",post id: 6176771813,"Furnished Room at Inner Sunset, Clean, Quiet, Great Location",https://sfbay.craigslist.org/sfc/roo/6176771813.html,inner sunset / UCSF,
,2017-06-14 11:38am,"
        
Hello,

This is a single family home you would be sharing the bathroom with 5 people including yourself & kitchen is shared.
Please note this is a Month to Month Tenancy & the bedroom is for ONE person only
I am seeking friendly and responsible individual/s who can pay rent on time.
All utilities are included meaning trash, water, electricity and cable
Muni bus stop located one block away.
The bedroom is unfurnished.
Smoking, pets, parties and overnight guests are not allowed on the property. 

To move in the following is required:
FIRST & LAST MONTHS RENT A TOTAL OF $1,800.00 = $1,800.00

IF INTERESTED PLEASE SEND A BRIEF EMAIL ABOUT YOURSELF, YOUR PREFERRED MOVE IN DATE & THE DATE AND TIME YOU'D LIKE TO COME BY.

I WILL NOT REPLY TO EMAILS ASKING IF IT IS STILL AVAILABLE IF THE AD IS STILL UP IT IS.    ",post id: 6176768694,BEDROOM FOR RENT,https://sfbay.craigslist.org/sfc/roo/6176768694.html,excelsior / outer mission,
,2017-06-14 11:50am,"
        
Hi Craiglist!

I am looking for a female to fill my room in our amazing three 3 bedroom (with a living room) 1 bath apartment in Russian Hill.  I love this place and am really sad to be leaving.  The room is huge for SF standards and comes with a walk in closet.  I am looking for someone to fill the room by July 23 but am pretty flexible with move in date.  Lease goes until Oct 31 but opportunity to resign.  To move in, I would need you to pay $2550 security deposit which you will get back from me when the lease is up October 31st.  Internet and cable will come to $40, PGE $25 and water $25 per person/per month.

About the place:
2 unit building but no one has lived upstairs for the last 8 months
Hardwood floors throughout
Remodeled bathroom and kitchen!
Beautiful bay views
Laundry mat directly across the street
Garage parking for $300
Living room
Storage room
BACKYARD!!

About the roommates:
27 year old gay male (Eddie) and 27 year old female (Jenny)  are responsible, clean and both work 9-5.  Eddie recently moved up from LA and Jenny is from Michigan originally but has lived in SF for the last 2 years.  Both are respectful, don't bring the party home and enjoy a casual glass of wine during the week.  No ragers!    ",post id: 6176787768,Large sunny room in Russian Hill available with views of the bay!!,https://sfbay.craigslist.org/sfc/roo/6176787768.html,russian hill,
,2017-06-14 11:42am,"
        
Hi All,
Me and my friend are looking for a 3rd person to join us. We already have a 3 Bedroom place confirmed starting on June 30th. And would like to have someone commit to the place asap so we can move forward with the leasing application.

ABOUT THE PLACE: The apartment is Webster Street and Terraces, it's at 1489 Webster. The apartment is newly renovated and is in great condition. Its a 3bedroom apartment with one bathroom shared between all three of us. 

ABOUT THE ROOM: its a private room with built in cupboard and large windows. The room is unfurnished. The price is $1450 a month before utilities which we will split amongst the 3 of us evenly.
Initial cost is 1450$ (rent for first month) + 1000$ (Deposit) + 40$ (Application Fee) 
**Move in date will be June 30th.
View the video of the place:
https://www.youtube.com/watch?v=evXZkLBMcGo
https://www.webstertower.com/.../zzg3tv5jkzpkx5yonaw382bwerwi...
II have also attached few images.
If you are interested please contact me through facebook or phone 
 

I can show you the place today and tomorrow. We're looking for someone who can commit at the earliest! Thanks!!!    ",post id: 6176775365,$1450 Single Room 1489 Webster,https://sfbay.craigslist.org/sfc/roo/6176775365.html,lower pac hts,
,2017-06-14 10:54am,"
        
large joined living/dining room with wood floors, bay windows, and a working fireplace; kitchen with marble counter tops, built-in stove, microwave, dishwasher, and wine rack; sun room/bar area leading to back deck and yard; free laundry in garage.

We're just around the corner from Giorgio's, The Bitter End, The Plough and the Stars, Burma Superstar, Cumaica Coffee, King of Thai, and many other fabulous Clement Street bars and restaurants. Minutes away from the Presidio, the Marina, Golden Gate Park, and Trader Joe's. Within 1-2 blocks of the 38-Geary, 2-Clement, 1-California and 33-Stanyan Muni lines!

If your interested in joining my home, I would be happy to hear a bit about yourself.Be sure to include your work hours and leave a phone number. 

    ",post id: 6176695754,Roommate Wanted for Inner Richmond House,https://sfbay.craigslist.org/sfc/roo/6176695754.html,inner richmond,
1107,2017-06-14 11:34am,"
        
We have a huge room in SoMa available for rent in a luxury 2 bedroom/2 bathroom apartment.

Move-in cost would be first month's rent as well as the security deposit (which is equal to 1 month's worth of rent). 

This would be for a 12 month lease, and unfortunately no pets for now :( 


You can get more info here:
http://tourapts.co/lseven?c=clp_bl6.5.614    ",post id: 6176760802,1BD 1BA avail in new large 3BD 2BA near Caltrain,https://sfbay.craigslist.org/sfc/roo/6176760802.html,downtown / civic / van ness,
2600,2017-06-14 11:54am,"
        
我们现在在USF校区旁边的一个大型豪华住宅里。
这个主要的孤山山脉Desac位于城市最舒适和安静的社区之一：毗邻USF，目标，百思买，交易者乔，panera，幸运，步行距离金门公园。时尚的餐厅，购物到劳雷尔村和克莱门特街，步行即可到达新家。轻松访问UCSf。街道停车场很方便，方便前往市中心和UCSF的公共交通工具＃31，5，38，43，并快速前往280或101个高速公路，快速通往山谷。金融区距离酒店二十分钟路程，附近还有许多私人和科技巴士路​​线。

房子的细节包括：
7 BR（6巨BR和1小BR）4.5BA
BR1 10'X 10'（最小的BR与私人浴）租金$ 1800.00
BR2 19'X 16'（主BR带巨大的私人主浴），租金为2200.00美元
BR3 11.5'X 15'共享浴租$ 1800.00
BR4 11.6'X 15'与日光浴室（10'X 13.75）漂亮的观看共享浴 - $ 1600.00
BR5 18.3'X 11.5'共享浴租$ 1600.00
BR6 19'X 11.5'私人浴室租金为$ 1700.00
BR7 19'X 16'共享浴租$ 1850.00

注意：BR3，BR4和BR5共享1个浴
巨大的客厅和厨房
包括洗衣机和烘干机
公用事业（PGE，水和垃圾）由租户共享。
街道停车是丰富的。如果您对该地感兴趣，请通过电子邮件返回
关于你自己，你的年龄，你的性别，你的职业，爱好/兴趣，照片或链接到Facebook或LinkedIn，并包括你的联系人＃。没有情侣没有党没药没有宠物和禁烟。没有大声的​​音乐。你必须有就业证明或入学证明。除非您提供到您的Facebook或LinkedIn的链接，否则不会被考虑。
我们正在寻找年轻的专业或国际学生谁享受和平安静的家园。有干净，整洁，尊重，负责任和容易去的人。

租赁条款
清洁信用
2.上个月的租金和一个月租金的保证金。
租期为一年。 6月15日可用
4.公用事业（PGE，电缆，水和垃圾）由租户分担

附近的巴士＃38，31，5和43
图片可应要求提供。    ",post id: 6176794533,$ 1800 USF（USF / panhandle）旁边的USF学,https://sfbay.craigslist.org/sfc/roo/6176794533.html,USF / panhandle,
,2017-06-14 11:37am,"
        
Hello,

This is a single family home you would be sharing the bathroom with 5 people including yourself & kitchen is shared.
Please note this is a Month to Month Tenancy & the bedroom is for ONE person only
I am seeking friendly and responsible individual/s who can pay rent on time.
All utilities are included meaning trash, water, electricity and cable
Muni bus stop located one block away.
The bedroom is unfurnished.
Smoking, pets, parties and overnight guests are not allowed on the property. 

To move in the following is required:
FIRST & LAST MONTHS RENT A TOTAL OF $1,800.00 = $1,800.00

IF INTERESTED PLEASE SEND A BRIEF EMAIL ABOUT YOURSELF, YOUR PREFERRED MOVE IN DATE & THE DATE AND TIME YOU'D LIKE TO COME BY.

I WILL NOT REPLY TO EMAILS ASKING IF IT IS STILL AVAILABLE IF THE AD IS STILL UP IT IS.    ",post id: 6176766375,HUGE SPACIOUS BEDROOM FOR RENT,https://sfbay.craigslist.org/sfc/roo/6176766375.html,excelsior / outer mission,
,2017-05-30 10:52am,"
        
Hello Everyone,

******Here is the current living arrangement at this point. Three SFSU students rented my place and two of them have graduated and decided to move back home. I have found a new tenant for the room with the shared bath. The Master Bedroom with private bath is still available and will rent for 1350 with all utilities covered by landlord. The room will be vacant and available on July 1, 2017. The current tenant staying is very courteous, sweet, and respectful. Her name is Jessica.

Here is the description of the layout of the house. 

A newly built 3 bedrooms 2 full baths in-law apartment for rent in the Sunset Parkside District of San Francisco. My apt in law has hardwood floors throughout and the three bedrooms are very decent size. There are two full baths (including a master bedroom with a full bath) and a nice kitchen for you as well. Public Transportation includes L Taraval Muni which is (one blocks away) and the 71, 18, and 29 bus lines are also all walking distant from our house. It's very easy and convenient to get to Downtown, SF State University and City College. This apt is perfect for three students attending SFSU. The top unit is occupied by my family. We are very respectful and quiet so we're looking for tenants that will do the same. Ideally, we'd like to rent to someone who is clean, drama free, and will pay rent on time. 

TERMS: 
Monthly Rent: $1350 for room with all utilities included with a one year lease.
Security Deposit: $1,000  
No Pets, No Smoking, No Drugs, No Parties

Please email me SOMETHING ABOUT YOURSELF and I will get back to you asap. Thank you so much for your time and good luck with your search.

Thank you,
Andy

    ",post id: 6154464897,**Master Bedroom with Private Bath Avail in 3 BD 2 baths Apt in Law***,https://sfbay.craigslist.org/sfc/roo/6154464897.html,sunset / parkside,
,2017-06-12  9:59am,"
        
++!!++ Furnished Private Bedroom/Bathroom & Full Renovated ++!!++
Furnished Private bedroom, bathroom, and parking in renovated!!

Private bedroom and bathroom in a recently renovated house. Looking for a male/female or couple/ roommate. Close to College and Hospital, High school good quiet neighborhood .We are across the street from a great shopping Plaza that has a Publix as well as several restaurants and a gym. .

rent includes reserved off-street parking space (current roommate doesn't have a car, so it's all yours), cable, smart TV (Netflix and Amazon Prime TV), internet, all utilities, and monthly cleaning service. Private room is ~150 sq. ft with television, with private bath (show) . washer/dryer on 2nd floor (located next to bedroom), with fully stocked kitchen (crock pot and vitamix blender).

    ",post id: 6173561845,++!!++ Furnished Private Bedroom/Bathroom & Full Renovated ++!!++,https://sfbay.craigslist.org/sfc/roo/6173561845.html,@ SF bay area @,
115,2017-06-08  3:51pm,"
        
Private room for rent, convenient location, right next to Muni N line stop, laundry and restaurant in the corner. A few blocks away from the busy Irving St full of restaurants, banks and supermarket.

- 2 bathrooms for share
- 1 storage
- big window
- Spacious kitchen include refrigerator, stove, oven
- Rent include all utilities  (Garbage, Water, PG&E)

- $1,150/month
- $1,650 security deposit
- Minimum one year lease
- No pet, No smoking

To apply, please prepare below document:

- Full Credit Report
- 2 Months Bank Statement
- 2 Months Pay Stub
- Copy of driver's license

**Please email 
 
 to schedule a viewing.
    ",post id: 6168382817,"Private Room for rent, 2bath, next to Muni N, include ALL utilities",https://sfbay.craigslist.org/sfc/roo/6168382817.html,sunset / parkside,
,2017-06-14 11:52am,"
        
August 1st - December 31st
 
I'm subletting my studio until the end of December. This studio is located in the heart of Chinatown and two blocks away from North Beach area. This neighborhood is charming and attracts many tourist. You'll find delicious restaurants and nearby parks. The studio itself is located on the top floor of the building and has a washroom on each level (No elevators in this building). The building comes with rooftop access and the studio is furnished with fridge, table, dresser, desk and bed. 
 
I'm looking for a quiet and low key female to occupy this space until I return. The neighbor has sensitive hearing and doesn't like much noise. The studio goes for $2600/ monthly with utilities included (pg&e + wifi). Along with a refundable $1200 deposit. Please reach out to me to if you're interested and we can schedule a time for you to come and check out the studio.
    ",post id: 6176791409,Chinatown Studio available through the end of December,https://sfbay.craigslist.org/sfc/roo/6176791409.html,financial district,
120,2017-06-14 12:01pm,"
        
We offer newly painted upstairs room with ocean view share granite top kitchen and bathroom  size 120sq.ft rent $920 month available now)

Location safety quiet nice neighborhood Merced height district 

Convenience all transportation to downtown and peninsula and easy accept free way 280 and hight way 1 (easy street Parking are mini 29 43 54 17 K J M  )

Walk to 5 blacks from sfsu and public library and Stonestown shopping mall Trader Joe's and Ocean Ave Walgreens 24hr finest restaurants grocery stores 

We need first month last month + $500 security deposit ( refundable) at least 6 month or one year leases if shot term will more charge 

Utilities not include share with another tenants ( split among tenants)

Washes and dryer (free no coin) hight Speer wireless wifi ( Comcast )
No party no pet no drugs non smoke not allowed overnight guests 

We are looking for responsible respect kind clean people ( welcome international students and professionals job)

Interested please set up a time call or text Shirley 
 
or email ( only for seriously people not response out of the country 

Required 
Please bring your credit report and paid stud ( $35 for check credit and application students I D ( or consign )    ",post id: 6176805431,Newly painted upstairs room walk to sfsu and stonestown shopping mall,https://sfbay.craigslist.org/sfc/roo/6176805431.html,ingleside / SFSU / CCSF,
,2017-06-14  8:48am,"
        
-Extremely large room
-Walk in closet
-Private bathroom
-private balcony
-Close to Muni
-Laundry in house


Available immediately
    ",post id: 6176480296,Large Bedroom for Rent w/ Views,https://sfbay.craigslist.org/sfc/roo/6176480296.html,bayview,
,2017-06-14  9:12am,"
        
AVAILABLE NOW!

NEWLY FURNISHED room (NEW PAINT, NEW CARPET, NEW FURNITURE) available for students or anyone! This is a quiet environment, so definitely no parties or overnight stays.

SHARED: kitchen, entrance, bath (with one other person) and utilities. The tenants are friendly, respectful and very tidy.

CONVENIENTLY located: on 37th Ave - parallel to Sunset Blvd!!! Steps from the 29 bus line which leads directly to SFSU (no transfer). Near GOLDEN GATE PARK and Lake Merced (10 min walk)! Also near grocery shopping (Lucky's near by), restaurants, laundromat, library, banks, Stonestown Mall, SFSU, UCSF and many bus lines!

BUS LINES: 29, 66, L, 48, 71, and 16X bus lines.
SFSU - 5-10 mins bus ride
UCSF - 30 min
CCSF - 18 mins bus ride
Downtown - 30 mins bus ride

ABSOLUTELY NO OVERNIGHT GUESTS! Sorry, no pets!    ",post id: 6176522669,"LARGE NEWLY FURNISHED ROOM by SFSU UCSF, GGPark, BEACH, CLEAN & SAFE!",https://sfbay.craigslist.org/sfc/roo/6176522669.html,sunset / parkside,
,2017-06-14  9:15am,"
        
We have one single room for rent in a wonderful location
Monthly Rent: $920 plus utilities 
One year team
Good for one person only
Prefer Male single only

Daly City Bart Station: Two blocks away which takes you less than 20 min to SF Downtown, 
CCSF: Bus 54 
SFSU: Bus 28 & SFSU School Bus 
Freeway 280 & 101: Very Easy access to freeway

Close to Mall & shop:
Ocean view Village shopping mall: one block ( Grocery stores, Walgreen, fitness, restaurant)
Westlake shopping Mall: less than 3 min driving
Serramonte Shopping Mall: less than 8 min driving

About the room:
Very, Clean, Single Room 
Hardwood flooring 
Good for one person
Prefer Male single 

NO SMOKING, NO DRUGS, NO PETS, NO DRINKING PLEASE! 

street parking only 
$1000 Refundable Security Deposit 
Sharing bathroom & kitchen
First, Last month plus security deposit to move in
Credit Report and Income verification required.    ",post id: 6176528078,Single room for rent near Daly City Bart for Male Single,https://sfbay.craigslist.org/sfc/roo/6176528078.html,ingleside / SFSU / CCSF,
